"Week","Stored Energy Value 2015 [MWh] - Austria (AT)","Stored Energy Value 2016 [MWh] - Austria (AT)","Stored Energy Value 2017 [MWh] - Austria (AT)","Stored Energy Value 2018 [MWh] - Austria (AT)","Stored Energy Value 2019 [MWh] - Austria (AT)","Stored Energy Value 2020 [MWh] - Austria (AT)","Stored Energy Value 2021 [MWh] - Austria (AT)","Stored Energy Value 2022 [MWh] - Austria (AT)","Stored Energy Value 2023 [MWh] - Austria (AT)","Stored Energy Value 2024 [MWh] - Austria (AT)"
"Week 1","N/A","1045237","825978","1269659","1412194","1570578","1117055","1311570","1655961","1537771"
"Week 2","1019454","1020559","784999","1239217","1372937","1533996","1007379","1260206","1597119","1423063"
"Week 3","996580","988529","736945","1173769","1326312","1426254","952429","1174620","1540674","1260750"
"Week 4","901223","952521","647447","1056605","1176602","1273793","899576","1037006","1375097","1157852"
"Week 5","826717","946382","574658","989005","1077808","1156977","853281","962906","1269456","1073592"
"Week 6","756969","909004","533869","890512","1004592","1153654","748222","933635","1184410","1018434"
"Week 7","700708","844510","528844","803073","929553","1137108","666611","879665","1074334","936302"
"Week 8","639712","787908","525197","681020","862072","1086259","611769","885628","1040288","880475"
"Week 9","593897","714025","520021","605809","794181","1062706","534981","807447","945965","784374"
"Week 10","571460","634969","484480","503536","748352","1015282","454595","693482","818682","663585"
"Week 11","547116","550396","474694","427773","709164","961767","401931","639839","779143","570068"
"Week 12","502729","449762","467394","367426","651259","931444","349156","609961","696653","-"
"Week 13","461525","436803","439512","323029","594518","862319","328343","564987","641040","-"
"Week 14","434975","433903","411399","324036","541928","738395","316830","542635","592454","-"
"Week 15","409701","422118","391455","322445","457413","665637","275505","514814","528185","-"
"Week 16","404410","397331","393654","322607","405422","684287","269440","473013","468331","-"
"Week 17","393227","373351","378402","384622","448854","721438","292186","403187","450518","-"
"Week 18","367209","367185","376944","462357","451052","708383","321166","376285","462364","-"
"Week 19","412213","391199","376608","563938","420343","708108","354573","404104","470984","-"
"Week 20","502374","392256","434020","629988","404278","770601","379549","521892","486042","-"
"Week 21","571841","423614","516554","675667","425504","844063","411966","741362","566309","-"
"Week 22","579440","518826","630154","774086","508035","923587","433519","849573","687991","-"
"Week 23","676265","596714","790971","911618","633327","932650","548224","1039793","780684","-"
"Week 24","797835","719299","889162","982583","891204","1011564","738921","1125611","876458","-"
"Week 25","906370","832085","977080","1072631","1151153","1122407","960466","1160127","980689","-"
"Week 26","943975","965186","1109408","1146615","1333426","1180014","1091048","1272332","1123011","-"
"Week 27","980300","1086292","1205375","1211450","1456081","1309394","1200078","1403125","1236938","-"
"Week 28","1067215","1189228","1292783","1302507","1516347","1457304","1362001","1472437","1344774","-"
"Week 29","1144892","1227339","1363728","1341843","1525238","1518133","1527934","1506209","1498091","-"
"Week 30","1223703","1213870","1445422","1381121","1572891","1570448","1618035","1583697","1584708","-"
"Week 31","1366889","1256775","1535390","1444227","1695615","1631195","1745758","1715317","1693210","-"
"Week 32","1462726","1380409","1646395","1500726","1746547","1728887","1809100","1796278","1814757","-"
"Week 33","1473223","1461695","1697579","1570134","1808417","1749681","1813131","1765103","1849541","-"
"Week 34","1478931","1475904","1723390","1590460","1853245","1770731","1808115","1807960","1815293","-"
"Week 35","1511025","1462535","1699862","1669709","1870542","1787368","1781623","1873203","1929379","-"
"Week 36","1486696","1479219","1729667","1738514","1853674","1889601","1748458","1943380","1955406","-"
"Week 37","1509042","1490842","1735631","1741437","1869218","1881744","1725763","1947791","1901084","-"
"Week 38","1434126","1512694","1724841","1758824","1846058","1827376","1770991","1979697","1879200","-"
"Week 39","1467245","1461205","1681783","1796341","1850987","1813661","1765433","1936840","1876532","-"
"Week 40","1491371","1417067","1681296","1915721","1851101","1817463","1782655","1986419","1861453","-"
"Week 41","1461989","1364113","1704573","1874838","1875628","1884485","1765350","1966711","1799814","-"
"Week 42","1440719","1322498","1652668","1838550","1878607","1901884","1729692","1963640","1751338","-"
"Week 43","1414479","1277134","1622939","1810607","1870986","1868049","1716410","2001005","1761084","-"
"Week 44","1384864","1272662","1629403","1893120","1871050","1875010","1717056","1947915","1809407","-"
"Week 45","1350070","1269272","1597426","1911657","1875843","1901278","1659182","1919050","1819247","-"
"Week 46","1316621","1253268","1550100","1855791","1814659","1844820","1557858","1880574","1775345","-"
"Week 47","1287734","1256411","1514230","1725074","1763652","1771305","1475039","1874133","1766548","-"
"Week 48","1238403","1198418","1463689","1623054","1719248","1646477","1441692","1828143","1707104","-"
"Week 49","1185974","1108707","1404330","1563081","1650410","1484928","1402617","1756788","1590420","-"
"Week 50","1156756","1007832","1380317","1492987","1568352","1363739","1323892","1677478","1545639","-"
"Week 51","1105643","885063","1266727","1383749","1527181","1244037","1274576","1636954","1507174","-"
"Week 52","1088965","866343","1259083","1391960","1564023","1198183","1297334","1678718","1543144","-"
"Week 53","1080233","","","","","1192861","","","",""
