"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Bulgaria (BG)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","0","","7"
"Bulgaria (BG)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","0","","7"
"Bulgaria (BG)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","43","","61"
"Bulgaria (BG)","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","534","","149"
"Bulgaria (BG)","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","712","","129"
"Bulgaria (BG)","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","621","","172"
"Bulgaria (BG)","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","421","","228"
"Bulgaria (BG)","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","237","","229"
"Bulgaria (BG)","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","199","","233"
"Bulgaria (BG)","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","38","","230"
"Bulgaria (BG)","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","0","","18"
"Bulgaria (BG)","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","0","","7"
"Bulgaria (BG)","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","0","","310"
"Bulgaria (BG)","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","0","","386"
"Bulgaria (BG)","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","0","","327"
"Bulgaria (BG)","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","0","","249"
"Bulgaria (BG)","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","0","","78"
"Bulgaria (BG)","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","0","","15"
"Bulgaria (BG)","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","0","","40"
"Bulgaria (BG)","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","0","","74"
"Bulgaria (BG)","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","26","","432"
"Bulgaria (BG)","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","322","","664"
"Bulgaria (BG)","02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","504","","754"
"Bulgaria (BG)","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","471","","710"
"Bulgaria (BG)","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","408","","623"
"Bulgaria (BG)","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","214","","532"
"Bulgaria (BG)","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","149","","532"
"Bulgaria (BG)","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","0","","416"
"Bulgaria (BG)","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","0","","19"
"Bulgaria (BG)","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","0","","111"
"Bulgaria (BG)","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","0","","242"
"Bulgaria (BG)","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","0","","241"
"Bulgaria (BG)","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","0","","53"
"Bulgaria (BG)","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","0","","7"
"Bulgaria (BG)","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","0","","8"
"Bulgaria (BG)","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","0","","8"
