"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Switzerland (CH)","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","121","","170"
"Switzerland (CH)","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","205","","146"
"Switzerland (CH)","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","192","","124"
"Switzerland (CH)","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","83","","116"
"Switzerland (CH)","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","64","","104"
"Switzerland (CH)","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","71","","114"
"Switzerland (CH)","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","165","","106"
"Switzerland (CH)","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","112","","106"
"Switzerland (CH)","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","115","","105"
"Switzerland (CH)","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","115","","130"
"Switzerland (CH)","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","92","","108"
"Switzerland (CH)","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","87","","99"
"Switzerland (CH)","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","85","","136"
"Switzerland (CH)","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","95","","132"
"Switzerland (CH)","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","154","","194"
"Switzerland (CH)","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","113","","207"
"Switzerland (CH)","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","799","","246"
"Switzerland (CH)","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","1414","","222"
"Switzerland (CH)","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","1770","","315"
"Switzerland (CH)","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","1733","","349"
"Switzerland (CH)","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","1375","","213"
"Switzerland (CH)","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","755","","120"
"Switzerland (CH)","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","712","","127"
"Switzerland (CH)","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","767","","142"
"Switzerland (CH)","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","252","","146"
"Switzerland (CH)","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","145","","119"
"Switzerland (CH)","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","119","","115"
"Switzerland (CH)","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","118","","125"
"Switzerland (CH)","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","123","","104"
"Switzerland (CH)","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","135","","192"
"Switzerland (CH)","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","348","","218"
"Switzerland (CH)","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","512","","207"
"Switzerland (CH)","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","1089","","171"
"Switzerland (CH)","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","1050","","153"
"Switzerland (CH)","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","941","","170"
"Switzerland (CH)","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","868","","149"
"Switzerland (CH)","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","684","","133"
"Switzerland (CH)","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","447","","145"
"Switzerland (CH)","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","375","","169"
"Switzerland (CH)","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","1385","","238"
"Switzerland (CH)","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","1482","","204"
"Switzerland (CH)","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","2188","","457"
"Switzerland (CH)","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","2245","","590"
"Switzerland (CH)","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","2079","","335"
"Switzerland (CH)","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","1740","","178"
"Switzerland (CH)","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","1133","","192"
"Switzerland (CH)","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","926","","166"
"Switzerland (CH)","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","640","","83"
"Switzerland (CH)","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","300","","89"
"Switzerland (CH)","03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","305","","124"
"Switzerland (CH)","03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","325","","60"
"Switzerland (CH)","03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","304","","54"
"Switzerland (CH)","03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","238","","52"
"Switzerland (CH)","03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","296","","77"
"Switzerland (CH)","03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","966","","88"
"Switzerland (CH)","03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","1974","","137"
"Switzerland (CH)","03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","2444","","359"
"Switzerland (CH)","03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","2394","","524"
"Switzerland (CH)","03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","1982","","290"
"Switzerland (CH)","03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","1794","","149"
"Switzerland (CH)","03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","1993","","391"
"Switzerland (CH)","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","2104","","305"
"Switzerland (CH)","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","2245","","413"
"Switzerland (CH)","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","2210","","562"
"Switzerland (CH)","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","2020","","662"
"Switzerland (CH)","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","2017","","726"
"Switzerland (CH)","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","2363","","780"
"Switzerland (CH)","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","1667","","560"
"Switzerland (CH)","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","905","","129"
"Switzerland (CH)","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","503","","84"
"Switzerland (CH)","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","283","","131"
"Switzerland (CH)","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","174","","92"
"Switzerland (CH)","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","147","","65"
"Switzerland (CH)","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","119","","54"
"Switzerland (CH)","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","145","","60"
"Switzerland (CH)","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","99","","48"
"Switzerland (CH)","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","113","","42"
"Switzerland (CH)","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","141","","60"
"Switzerland (CH)","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","346","","156"
"Switzerland (CH)","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","540","","258"
"Switzerland (CH)","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","890","","431"
"Switzerland (CH)","04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","1001","","495"
"Switzerland (CH)","04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","792","","336"
"Switzerland (CH)","04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","704","","205"
"Switzerland (CH)","04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","760","","252"
"Switzerland (CH)","04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","689","","159"
"Switzerland (CH)","04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","811","","171"
"Switzerland (CH)","04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","725","","245"
"Switzerland (CH)","04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST)","790","","337"
"Switzerland (CH)","04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST)","1077","","413"
"Switzerland (CH)","04.01.2023 18:00 - 04.01.2023 19:00 (CET/CEST)","1503","","559"
"Switzerland (CH)","04.01.2023 19:00 - 04.01.2023 20:00 (CET/CEST)","1119","","246"
"Switzerland (CH)","04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST)","538","","71"
"Switzerland (CH)","04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST)","515","","75"
"Switzerland (CH)","04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST)","480","","73"
"Switzerland (CH)","04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST)","246","","160"
"Switzerland (CH)","05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST)","196","","131"
"Switzerland (CH)","05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST)","67","","107"
"Switzerland (CH)","05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST)","54","","90"
"Switzerland (CH)","05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST)","54","","63"
"Switzerland (CH)","05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST)","98","","97"
"Switzerland (CH)","05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST)","114","","79"
"Switzerland (CH)","05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST)","244","","129"
"Switzerland (CH)","05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST)","557","","153"
"Switzerland (CH)","05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST)","1068","","157"
"Switzerland (CH)","05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST)","1175","","185"
"Switzerland (CH)","05.01.2023 10:00 - 05.01.2023 11:00 (CET/CEST)","1317","","138"
"Switzerland (CH)","05.01.2023 11:00 - 05.01.2023 12:00 (CET/CEST)","1688","","158"
