"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","","2094","1162"
"Spain (ES)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","","2115","799"
"Spain (ES)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","","2037","898"
"Spain (ES)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","","2126","714"
"Spain (ES)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","","2580","661"
"Spain (ES)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","","2544","612"
"Spain (ES)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","","2501","693"
"Spain (ES)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","","2324","792"
"Spain (ES)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","","2190","573"
"Spain (ES)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","","2163","691"
"Spain (ES)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","","1829","810"
"Spain (ES)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","","1014","1009"
"Spain (ES)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","","926","1151"
"Spain (ES)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","","927","1243"
"Spain (ES)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","","1142","1013"
"Spain (ES)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","","1344","782"
"Spain (ES)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","","1300","785"
"Spain (ES)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","","1073","1141"
"Spain (ES)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","","355","2275"
