"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"France (FR)","01.01.2019 00:00 - 01.01.2019 01:00 (CET/CEST)","","1377","1054"
"France (FR)","01.01.2019 01:00 - 01.01.2019 02:00 (CET/CEST)","","1536","740"
"France (FR)","01.01.2019 02:00 - 01.01.2019 03:00 (CET/CEST)","","2372","463"
"France (FR)","01.01.2019 03:00 - 01.01.2019 04:00 (CET/CEST)","","2667","145"
"France (FR)","01.01.2019 04:00 - 01.01.2019 05:00 (CET/CEST)","","2885","97"
"France (FR)","01.01.2019 05:00 - 01.01.2019 06:00 (CET/CEST)","","3043","119"
"France (FR)","01.01.2019 06:00 - 01.01.2019 07:00 (CET/CEST)","","2956","159"
"France (FR)","01.01.2019 07:00 - 01.01.2019 08:00 (CET/CEST)","","2818","103"
"France (FR)","01.01.2019 08:00 - 01.01.2019 09:00 (CET/CEST)","","2775","240"
"France (FR)","01.01.2019 09:00 - 01.01.2019 10:00 (CET/CEST)","","2688","541"
"France (FR)","01.01.2019 10:00 - 01.01.2019 11:00 (CET/CEST)","","2645","568"
"France (FR)","01.01.2019 11:00 - 01.01.2019 12:00 (CET/CEST)","","2506","932"
"France (FR)","01.01.2019 12:00 - 01.01.2019 13:00 (CET/CEST)","","1448","1393"
"France (FR)","01.01.2019 13:00 - 01.01.2019 14:00 (CET/CEST)","","1685","835"
"France (FR)","01.01.2019 14:00 - 01.01.2019 15:00 (CET/CEST)","","2573","820"
"France (FR)","01.01.2019 15:00 - 01.01.2019 16:00 (CET/CEST)","","2632","386"
"France (FR)","01.01.2019 16:00 - 01.01.2019 17:00 (CET/CEST)","","2758","541"
"France (FR)","01.01.2019 17:00 - 01.01.2019 18:00 (CET/CEST)","","1457","688"
"France (FR)","01.01.2019 18:00 - 01.01.2019 19:00 (CET/CEST)","614","","1251"
"France (FR)","01.01.2019 19:00 - 01.01.2019 20:00 (CET/CEST)","936","","1273"
"France (FR)","01.01.2019 20:00 - 01.01.2019 21:00 (CET/CEST)","","277","1278"
"France (FR)","01.01.2019 21:00 - 01.01.2019 22:00 (CET/CEST)","","1766","1215"
"France (FR)","01.01.2019 22:00 - 01.01.2019 23:00 (CET/CEST)","","1077","1246"
"France (FR)","01.01.2019 23:00 - 02.01.2019 00:00 (CET/CEST)","","1071","820"
"France (FR)","02.01.2019 00:00 - 02.01.2019 01:00 (CET/CEST)","","2411","650"
"France (FR)","02.01.2019 01:00 - 02.01.2019 02:00 (CET/CEST)","","2901","538"
"France (FR)","02.01.2019 02:00 - 02.01.2019 03:00 (CET/CEST)","","2717","597"
