"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","46","62","301"
"Italy (IT)","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","1","103","242"
"Italy (IT)","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","0","131","200"
"Italy (IT)","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","0","700","155"
"Italy (IT)","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","0","735","158"
"Italy (IT)","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","0","334","160"
"Italy (IT)","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","0","299","159"
"Italy (IT)","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","0","702","206"
"Italy (IT)","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","0","682","239"
"Italy (IT)","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","0","632","201"
"Italy (IT)","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","88","45","184"
"Italy (IT)","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","52","80","196"
"Italy (IT)","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","61","46","246"
"Italy (IT)","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","16","47","201"
"Italy (IT)","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","0","430","184"
"Italy (IT)","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","0","47","221"
"Italy (IT)","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","121","2","477"
"Italy (IT)","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","1280","45","716"
"Italy (IT)","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","1788","1","502"
"Italy (IT)","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","2266","","552"
"Italy (IT)","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","2003","","742"
"Italy (IT)","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","1310","","745"
"Italy (IT)","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","243","","582"
"Italy (IT)","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","14","117","279"
"Italy (IT)","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","18","148","145"
"Italy (IT)","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","21","696","152"
"Italy (IT)","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","","884","120"
"Italy (IT)","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","","1157","119"
"Italy (IT)","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","","1317","129"
"Italy (IT)","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","0","926","129"
"Italy (IT)","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","0","742","154"
"Italy (IT)","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","0","300","219"
"Italy (IT)","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","158","2","331"
"Italy (IT)","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","237","","267"
"Italy (IT)","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","154","","352"
"Italy (IT)","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","68","","390"
"Italy (IT)","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","82","2","364"
"Italy (IT)","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","55","42","368"
"Italy (IT)","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","0","165","230"
"Italy (IT)","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","0","68","272"
"Italy (IT)","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","225","2","305"
"Italy (IT)","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","1678","","549"
"Italy (IT)","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","1637","","493"
"Italy (IT)","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","1610","","446"
"Italy (IT)","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","1201","","389"
"Italy (IT)","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","113","1","180"
"Italy (IT)","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","54","247","124"
"Italy (IT)","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","0","253","107"
"Italy (IT)","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","0","928","104"
"Italy (IT)","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","21","1075","122"
"Italy (IT)","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","17","1169","127"
"Italy (IT)","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","13","1438","114"
"Italy (IT)","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","13","1593","112"
"Italy (IT)","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","13","1809","105"
"Italy (IT)","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","13","108","121"
"Italy (IT)","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","5","","241"
"Italy (IT)","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","176","1","441"
"Italy (IT)","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","180","1","511"
"Italy (IT)","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","112","3","395"
"Italy (IT)","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","113","3","222"
"Italy (IT)","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","59","2","216"
"Italy (IT)","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","26","3","216"
"Italy (IT)","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","25","3","217"
"Italy (IT)","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","186","3","281"
"Italy (IT)","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","187","77","448"
"Italy (IT)","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","279","21","916"
"Italy (IT)","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","182","3","698"
"Italy (IT)","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","103","3","587"
"Italy (IT)","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","210","1","612"
"Italy (IT)","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","8","7","334"
"Italy (IT)","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","0","81","158"
"Italy (IT)","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","0","48","151"
"Italy (IT)","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","7","2","136"
"Italy (IT)","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","5","2","134"
"Italy (IT)","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","0","81","122"
"Italy (IT)","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","","228","121"
"Italy (IT)","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","","601","127"
"Italy (IT)","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","","601","126"
"Italy (IT)","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","","76","180"
"Italy (IT)","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","49","1","351"
"Italy (IT)","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","199","1","396"
"Italy (IT)","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","192","1","353"
"Italy (IT)","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","112","3","356"
"Italy (IT)","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","642","3","323"
"Italy (IT)","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","841","2","261"
"Italy (IT)","04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST)","837","3","240"
"Italy (IT)","04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST)","1058","3","244"
"Italy (IT)","04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST)","816","3","309"
"Italy (IT)","04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST)","168","12","430"
"Italy (IT)","04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST)","121","65","628"
"Italy (IT)","04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST)","50","3","513"
"Italy (IT)","04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST)","49","3","503"
"Italy (IT)","04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST)","28","56","336"
"Italy (IT)","04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST)","0","82","283"
"Italy (IT)","04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST)","0","8","267"
"Italy (IT)","04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST)","0","3","232"
"Italy (IT)","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","0","548","137"
"Italy (IT)","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","0","730","145"
"Italy (IT)","05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST)","0","1102","112"
"Italy (IT)","05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST)","0","1300","110"
"Italy (IT)","05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST)","12","1291","117"
"Italy (IT)","05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST)","9","1156","162"
"Italy (IT)","05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST)","0","12","167"
"Italy (IT)","05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST)","53","3","435"
"Italy (IT)","05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST)","359","3","630"
"Italy (IT)","05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST)","770","1","548"
"Italy (IT)","05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST)","515","1","503"
"Italy (IT)","05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST)","112","3","430"
"Italy (IT)","05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST)","46","2","293"
"Italy (IT)","05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST)","26","3","290"
"Italy (IT)","05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST)","30","2","313"
"Italy (IT)","05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST)","427","1","465"
"Italy (IT)","05.01.2022 16:00 - 05.01.2022 17:00 (CET/CEST)","517","1","601"
"Italy (IT)","05.01.2022 17:00 - 05.01.2022 18:00 (CET/CEST)","683","2","772"
"Italy (IT)","05.01.2022 18:00 - 05.01.2022 19:00 (CET/CEST)","804","3","832"
"Italy (IT)","05.01.2022 19:00 - 05.01.2022 20:00 (CET/CEST)","760","3","882"
"Italy (IT)","05.01.2022 20:00 - 05.01.2022 21:00 (CET/CEST)","507","3","627"
"Italy (IT)","05.01.2022 21:00 - 05.01.2022 22:00 (CET/CEST)","47","3","411"
"Italy (IT)","05.01.2022 22:00 - 05.01.2022 23:00 (CET/CEST)","0","4","375"
"Italy (IT)","05.01.2022 23:00 - 06.01.2022 00:00 (CET/CEST)","","23","305"
"Italy (IT)","06.01.2022 00:00 - 06.01.2022 01:00 (CET/CEST)","140","63","281"
"Italy (IT)","06.01.2022 01:00 - 06.01.2022 02:00 (CET/CEST)","65","55","400"
"Italy (IT)","06.01.2022 02:00 - 06.01.2022 03:00 (CET/CEST)","45","77","235"
"Italy (IT)","06.01.2022 03:00 - 06.01.2022 04:00 (CET/CEST)","","205","164"
"Italy (IT)","06.01.2022 04:00 - 06.01.2022 05:00 (CET/CEST)","0","83","169"
"Italy (IT)","06.01.2022 05:00 - 06.01.2022 06:00 (CET/CEST)","0","46","174"
"Italy (IT)","06.01.2022 06:00 - 06.01.2022 07:00 (CET/CEST)","26","2","191"
"Italy (IT)","06.01.2022 07:00 - 06.01.2022 08:00 (CET/CEST)","583","","432"
"Italy (IT)","06.01.2022 08:00 - 06.01.2022 09:00 (CET/CEST)","863","","691"
"Italy (IT)","06.01.2022 09:00 - 06.01.2022 10:00 (CET/CEST)","1191","","977"
"Italy (IT)","06.01.2022 10:00 - 06.01.2022 11:00 (CET/CEST)","1076","","960"
"Italy (IT)","06.01.2022 11:00 - 06.01.2022 12:00 (CET/CEST)","294","1","705"
"Italy (IT)","06.01.2022 12:00 - 06.01.2022 13:00 (CET/CEST)","126","64","452"
"Italy (IT)","06.01.2022 13:00 - 06.01.2022 14:00 (CET/CEST)","","259","345"
"Italy (IT)","06.01.2022 14:00 - 06.01.2022 15:00 (CET/CEST)","","255","346"
"Italy (IT)","06.01.2022 15:00 - 06.01.2022 16:00 (CET/CEST)","242","98","428"
"Italy (IT)","06.01.2022 16:00 - 06.01.2022 17:00 (CET/CEST)","680","3","457"
"Italy (IT)","06.01.2022 17:00 - 06.01.2022 18:00 (CET/CEST)","765","67","712"
"Italy (IT)","06.01.2022 18:00 - 06.01.2022 19:00 (CET/CEST)","409","21","968"
"Italy (IT)","06.01.2022 19:00 - 06.01.2022 20:00 (CET/CEST)","405","3","886"
"Italy (IT)","06.01.2022 20:00 - 06.01.2022 21:00 (CET/CEST)","118","3","595"
"Italy (IT)","06.01.2022 21:00 - 06.01.2022 22:00 (CET/CEST)","72","3","324"
"Italy (IT)","06.01.2022 22:00 - 06.01.2022 23:00 (CET/CEST)","48","16","314"
"Italy (IT)","06.01.2022 23:00 - 07.01.2022 00:00 (CET/CEST)","0","68","185"
"Italy (IT)","07.01.2022 00:00 - 07.01.2022 01:00 (CET/CEST)","12","2","123"
"Italy (IT)","07.01.2022 01:00 - 07.01.2022 02:00 (CET/CEST)","0","168","130"
"Italy (IT)","07.01.2022 02:00 - 07.01.2022 03:00 (CET/CEST)","0","376","130"
"Italy (IT)","07.01.2022 03:00 - 07.01.2022 04:00 (CET/CEST)","1","335","136"
"Italy (IT)","07.01.2022 04:00 - 07.01.2022 05:00 (CET/CEST)","0","230","142"
"Italy (IT)","07.01.2022 05:00 - 07.01.2022 06:00 (CET/CEST)","18","2","141"
"Italy (IT)","07.01.2022 06:00 - 07.01.2022 07:00 (CET/CEST)","9","2","223"
"Italy (IT)","07.01.2022 07:00 - 07.01.2022 08:00 (CET/CEST)","337","3","440"
"Italy (IT)","07.01.2022 08:00 - 07.01.2022 09:00 (CET/CEST)","625","3","580"
"Italy (IT)","07.01.2022 09:00 - 07.01.2022 10:00 (CET/CEST)","572","60","553"
"Italy (IT)","07.01.2022 10:00 - 07.01.2022 11:00 (CET/CEST)","253","149","543"
"Italy (IT)","07.01.2022 11:00 - 07.01.2022 12:00 (CET/CEST)","21","148","449"
"Italy (IT)","07.01.2022 12:00 - 07.01.2022 13:00 (CET/CEST)","19","161","428"
"Italy (IT)","07.01.2022 13:00 - 07.01.2022 14:00 (CET/CEST)","","231","373"
"Italy (IT)","07.01.2022 14:00 - 07.01.2022 15:00 (CET/CEST)","","33","437"
"Italy (IT)","07.01.2022 15:00 - 07.01.2022 16:00 (CET/CEST)","34","3","516"
"Italy (IT)","07.01.2022 16:00 - 07.01.2022 17:00 (CET/CEST)","","214","587"
"Italy (IT)","07.01.2022 17:00 - 07.01.2022 18:00 (CET/CEST)","150","138","839"
"Italy (IT)","07.01.2022 18:00 - 07.01.2022 19:00 (CET/CEST)","314","85","1006"
"Italy (IT)","07.01.2022 19:00 - 07.01.2022 20:00 (CET/CEST)","536","39","740"
"Italy (IT)","07.01.2022 20:00 - 07.01.2022 21:00 (CET/CEST)","180","82","609"
"Italy (IT)","07.01.2022 21:00 - 07.01.2022 22:00 (CET/CEST)","0","277","304"
"Italy (IT)","07.01.2022 22:00 - 07.01.2022 23:00 (CET/CEST)","0","49","183"
"Italy (IT)","07.01.2022 23:00 - 08.01.2022 00:00 (CET/CEST)","0","3","161"
