"Week","Stored Energy Value 2015 [MWh] - Montenegro (ME)","Stored Energy Value 2016 [MWh] - Montenegro (ME)","Stored Energy Value 2017 [MWh] - Montenegro (ME)","Stored Energy Value 2018 [MWh] - Montenegro (ME)","Stored Energy Value 2019 [MWh] - Montenegro (ME)","Stored Energy Value 2020 [MWh] - Montenegro (ME)","Stored Energy Value 2021 [MWh] - Montenegro (ME)","Stored Energy Value 2022 [MWh] - Montenegro (ME)","Stored Energy Value 2023 [MWh] - Montenegro (ME)","Stored Energy Value 2024 [MWh] - Montenegro (ME)"
"Week 1","555","193580","124296","418356","280280","431295","365226","282983","371505","346151"
"Week 2","255695","234285","101221","411673","262420","404753","374921","285519","420714","339534"
"Week 3","236741","N/A","99519","395183","228240","370849","343888","272633","444855","339790"
"Week 4","310731","233899","89730","366549","212410","339163","402407","245370","505322","329044"
"Week 5","326837","247069","100561","375625","267910","331887","427172","314328","451626","304694"
"Week 6","336913","438382","129687","399949","269703","325708","496842","288519","399521","129831"
"Week 7","228170","331292","122128","376707","267914","309088","468775","300855","354273","N/A"
"Week 8","289156","375186","120188","342482","248453","288583","410050","311048","330005","N/A"
"Week 9","311510","407900","149643","308430","225538","269656","365963","183244","409071","N/A"
"Week 10","321157","436963","188327","344780","214900","322839","325898","130390","404763","N/A"
"Week 11","312066","434365","193118","384110","220248","327715","299759","130143","407996","N/A"
"Week 12","303447","449894","186989","417930","228168","325986","262405","119616","348208","-"
"Week 13","318195","462238","187723","416443","235003","322093","248233","153217","388864","-"
"Week 14","323267","464085","184346","432111","236445","315502","245768","186441","382250","-"
"Week 15","317184","457307","187268","434576","263397","315067","247899","210794","396013","-"
"Week 16","336838","448461","194059","432930","282045","321009","243332","238318","408191","-"
"Week 17","354984","450299","198728","421042","301043","327560","263423","267209","409733","-"
"Week 18","379477","462636","203933","423271","331052","337588","300376","283919","411443","-"
"Week 19","385073","451428","216927","419986","361366","350531","321951","294351","432124","-"
"Week 20","381712","342216","216456","420188","373967","355771","338635","298977","458961","-"
"Week 21","387583","454885","224585","417796","387567","359101","318927","289703","448767","-"
"Week 22","393186","458392","222026","413094","411960","361676","362200","282825","441076","-"
"Week 23","393691","449306","227721","413915","410410","359699","363021","276853","441022","-"
"Week 24","387615","458620","223203","413789","408430","363631","363021","270605","446982","-"
"Week 25","387186","480803","215511","407332","402175","364374","344691","249988","436306","-"
"Week 26","388621","431306","215379","406917","388790","364461","335278","237436","428425","-"
"Week 27","381349","418342","213109","402179","366242","355309","326533","231494","419195","-"
"Week 28","355391","404230","203530","389867","357847","347031","313612","221631","404186","-"
"Week 29","321236","401819","199318","373895","347674","332347","306682","210483","385557","-"
"Week 30","274243","384135","196850","352804","328409","321347","283343","201564","374380","-"
"Week 31","268644","372200","182909","329678","316707","302293","257791","191533","366706","-"
"Week 32","265128","365504","171113","308921","303350","294186","240956","183357","360061","-"
"Week 33","250865","356258","170139","294196","291047","281348","225395","176122","349364","-"
"Week 34","249450","341918","164274","270209","274073","270529","223203","168652","328773","-"
"Week 35","243362","317830","159839","246866","248107","258418","212929","155695","317359","-"
"Week 36","203123","292470","159994","227581","218812","240877","198823","154389","309416","-"
"Week 37","180509","N/A","157010","215252","204623","225418","185220","155052","293823","-"
"Week 38","161031","N/A","156743","198888","189072","208453","178895","156600","281695","-"
"Week 39","153665","237152","156586","191944","164058","201878","170208","157385","267935","-"
"Week 40","152146","211446","153352","177751","154753","217077","159874","163875","257926","-"
"Week 41","145697","188452","147125","164038","147358","232218","145004","167179","244071","-"
"Week 42","190498","187048","138318","149882","139219","314756","128926","167729","235083","-"
"Week 43","229630","186626","134927","143140","135077","331875","118786","169265","232688","-"
"Week 44","230876","189206","130487","195200","133298","331257","123661","178366","257118","-"
"Week 45","224341","244648","128999","198820","260825","311744","129436","188700","315382","-"
"Week 46","211430","262296","188379","195410","360137","276864","118441","215124","337483","-"
"Week 47","209369","253511","189809","239703","403839","247571","119248","306555","367256","-"
"Week 48","234132","238568","234802","300080","416744","209192","178925","282994","391987","-"
"Week 49","230881","208177","266588","283920","427532","175950","226107","286905","388485","-"
"Week 50","219903","172699","347641","279330","428796","200992","226051","412497","374452","-"
"Week 51","184030","144792","377171","279990","416096","186475","206400","435651","360570","-"
"Week 52","208088","126241","409560","280140","448435","187229","255608","390343","346912","-"
"Week 53","208088","","","","","311763","","","",""
