"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","74","","6025"
"Norway (NO)","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","72","","5570"
"Norway (NO)","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","71","","4712"
"Norway (NO)","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","66","","4390"
"Norway (NO)","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","67","","4464"
"Norway (NO)","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","65","","4640"
"Norway (NO)","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","65","","4719"
"Norway (NO)","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","66","","4993"
"Norway (NO)","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","66","","5116"
"Norway (NO)","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","66","","5668"
"Norway (NO)","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","72","","6031"
"Norway (NO)","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","75","","6812"
"Norway (NO)","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","76","","7089"
"Norway (NO)","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","76","","7408"
"Norway (NO)","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","76","","7202"
"Norway (NO)","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","76","","8527"
"Norway (NO)","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","76","","10420"
"Norway (NO)","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","76","","10559"
"Norway (NO)","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","75","","10098"
"Norway (NO)","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","75","","10033"
"Norway (NO)","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","76","","9949"
"Norway (NO)","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","76","","9988"
"Norway (NO)","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","75","","9730"
"Norway (NO)","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","75","","9526"
"Norway (NO)","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","64","","9920"
"Norway (NO)","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","59","","9798"
"Norway (NO)","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","58","","9462"
"Norway (NO)","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","60","","9548"
"Norway (NO)","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","59","","9880"
"Norway (NO)","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","59","","10041"
"Norway (NO)","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","63","","11407"
"Norway (NO)","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","122","","14429"
"Norway (NO)","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","127","","15465"
"Norway (NO)","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","130","","15505"
"Norway (NO)","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","131","","15140"
"Norway (NO)","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","134","","16223"
"Norway (NO)","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","153","","16733"
"Norway (NO)","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","162","","16037"
"Norway (NO)","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","221","","16193"
"Norway (NO)","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","234","","16926"
"Norway (NO)","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","236","","17477"
"Norway (NO)","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","285","","17835"
"Norway (NO)","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","330","","18124"
"Norway (NO)","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","270","","17537"
"Norway (NO)","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","208","","16545"
"Norway (NO)","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","207","","15186"
"Norway (NO)","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","201","","14196"
"Norway (NO)","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","200","","13191"
"Norway (NO)","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","210","","12751"
"Norway (NO)","03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","206","","11486"
"Norway (NO)","03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","206","","10997"
"Norway (NO)","03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","207","","10542"
"Norway (NO)","03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","211","","10631"
"Norway (NO)","03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","210","","11761"
"Norway (NO)","03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","229","","14315"
"Norway (NO)","03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","425","","17021"
"Norway (NO)","03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","523","","17393"
"Norway (NO)","03.01.2023 09:00 - 03.01.2023 10:00 (CET/CEST)","506","","17328"
"Norway (NO)","03.01.2023 10:00 - 03.01.2023 11:00 (CET/CEST)","520","","17551"
"Norway (NO)","03.01.2023 11:00 - 03.01.2023 12:00 (CET/CEST)","483","","17344"
"Norway (NO)","03.01.2023 12:00 - 03.01.2023 13:00 (CET/CEST)","391","","17093"
"Norway (NO)","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","381","","17426"
"Norway (NO)","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","489","","18235"
"Norway (NO)","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","542","","18376"
"Norway (NO)","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","535","","18697"
"Norway (NO)","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","544","","19291"
"Norway (NO)","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","538","","18617"
"Norway (NO)","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","272","","17603"
"Norway (NO)","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","210","","16162"
"Norway (NO)","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","212","","14171"
"Norway (NO)","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","210","","12253"
"Norway (NO)","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","203","","10466"
"Norway (NO)","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","141","","9536"
"Norway (NO)","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","134","","8681"
"Norway (NO)","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","124","","7885"
"Norway (NO)","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","124","","7668"
"Norway (NO)","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","125","","7673"
"Norway (NO)","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","126","","7716"
"Norway (NO)","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","139","","9055"
"Norway (NO)","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","204","","11182"
"Norway (NO)","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","205","","11678"
