"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","334","8","390"
"Portugal (PT)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","333","11","342"
"Portugal (PT)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","176","19","326"
"Portugal (PT)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","0","358","132"
"Portugal (PT)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","0","728","140"
"Portugal (PT)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","0","785","142"
"Portugal (PT)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","0","684","242"
"Portugal (PT)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","0","659","248"
"Portugal (PT)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","0","657","247"
"Portugal (PT)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","0","684","296"
"Portugal (PT)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","0","677","381"
"Portugal (PT)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","117","651","381"
"Portugal (PT)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","27","347","301"
"Portugal (PT)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","127","348","557"
"Portugal (PT)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","168","709","832"
"Portugal (PT)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","58","739","339"
"Portugal (PT)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","233","713","232"
"Portugal (PT)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","283","22","238"
