"Week","Stored Energy Value 2015 [MWh] - Portugal (PT)","Stored Energy Value 2016 [MWh] - Portugal (PT)","Stored Energy Value 2017 [MWh] - Portugal (PT)","Stored Energy Value 2018 [MWh] - Portugal (PT)","Stored Energy Value 2019 [MWh] - Portugal (PT)","Stored Energy Value 2020 [MWh] - Portugal (PT)","Stored Energy Value 2021 [MWh] - Portugal (PT)","Stored Energy Value 2022 [MWh] - Portugal (PT)","Stored Energy Value 2023 [MWh] - Portugal (PT)","Stored Energy Value 2024 [MWh] - Portugal (PT)"
"Week 1","2060343","2198557","1577700","1451843","1532314","2403771","1723686","1131214","2451014","2501057"
"Week 2","1970600","2490071","1515543","1485386","1511786","2305786","1704571","1110243","2555343","2450986"
"Week 3","1923543","2469386","1461814","1540214","1472786","2252286","1720743","1048357","2615686","2596757"
"Week 4","1911900","2479986","1405929","1551814","1442157","2234714","1968114","1025371","2612357","2687814"
"Week 5","1937971","2468486","1487671","1566043","1518686","2302414","2145786","1029086","2533143","2567014"
"Week 6","2033514","2591243","1727214","1547900","1603571","2393700","2485514","1028671","2456243","2460329"
"Week 7","2016329","2725714","1844157","1583429","1650986","2337057","2593229","1041957","2424871","2534729"
"Week 8","2051386","2684086","1847543","1594371","1667871","2278857","2634829","1041671","2393729","2549129"
"Week 9","2068886","2660967","1855914","1597257","1661229","2208667","2603143","1021300","2350329","2724800"
"Week 10","2080386","2632686","1902357","1836114","1697700","2283286","2580657","1026457","2383829","2785657"
"Week 11","2066971","2577557","1925957","2250171","1737386","2300229","2589657","1045400","2471814","2900286"
"Week 12","2033314","2555943","1921914","2426986","1737657","2295357","2528629","1062586","2480986","-"
"Week 13","2021729","2663814","1950857","2471329","1738543","2288971","2501229","1059929","2514700","-"
"Week 14","2017200","2679243","1995071","2547257","1712800","2278029","2494143","1049086","2507314","-"
"Week 15","1976443","2666086","1993386","2609686","1769129","2309400","2435557","1094057","2521786","-"
"Week 16","1952686","2854014","2005786","2658886","1802886","2444000","2406100","1114300","2508157","-"
"Week 17","1945071","2844943","1993214","2673271","1912371","2531057","2441743","1109657","2515086","-"
"Week 18","1979643","2811186","2004471","2669543","1994357","2557543","2429086","1116400","2515171","-"
"Week 19","2085414","2893971","2050557","2661200","2025400","2598514","2458271","1084714","2515471","-"
"Week 20","2113114","2897771","2128671","2668614","2037600","2579957","2509171","1077314","2503157","-"
"Week 21","2107100","2848071","2133371","2637900","2004029","2561414","2474829","1072043","2500114","-"
"Week 22","2072543","2815871","2139414","2625314","2003057","2526029","2415314","1033957","2532100","-"
"Week 23","2039143","2756129","2136386","2614743","2002800","2501057","2367900","1032343","2555271","-"
"Week 24","2000714","2734229","2095243","2637429","2018343","2489486","2315943","1010671","2561957","-"
"Week 25","1985386","2697043","2062871","2592757","2009271","2433957","2302829","1010486","2539200","-"
"Week 26","1945757","2646229","2059871","2534243","1989371","2378986","2262486","1000943","2517014","-"
"Week 27","1910143","2607700","2031329","2501543","1945186","2326143","2218614","974314","2502029","-"
"Week 28","1880486","2544600","2004957","2401729","1908971","2289714","2170743","946100","2478100","-"
"Week 29","1848357","2486229","1974843","2317171","1862214","2249057","2103829","934800","2469900","-"
"Week 30","1820629","2424957","1907243","2241043","1821386","2205786","2035500","922514","2459271","-"
"Week 31","1787914","2370429","1844443","2178700","1814614","2168143","1983586","900357","2439086","-"
"Week 32","1755443","2329471","1824543","2124186","1757643","2149543","1906757","886014","2388071","-"
"Week 33","1729729","2274929","1784229","2096800","1757800","2105271","1874529","868886","2359543","-"
"Week 34","1703971","2226157","1715543","2026614","1738657","2094186","1848925","843929","2322657","-"
"Week 35","1692400","2160829","1671057","1935614","1667571","2068171","1794850","833343","2314457","-"
"Week 36","1666400","2061129","1622357","1853000","1631700","2044271","1744743","823271","2310814","-"
"Week 37","1649886","1993714","1592157","1784100","1613343","2013371","1715400","845943","2276214","-"
"Week 38","1690886","1929471","1545857","1708971","1547229","1990171","1705943","865629","2256643","-"
"Week 39","1705843","1853771","1530371","1621657","1505200","1969886","1661143","868900","2213500","-"
"Week 40","1664200","1782957","1510471","1557000","1419543","1934443","1632771","857757","2177871","-"
"Week 41","1707629","1743943","1468029","1527771","1354229","1913700","1582657","857229","2097957","-"
"Week 42","1680557","1705400","1442671","1503986","1385343","1841029","1501100","883814","2109114","-"
"Week 43","1665429","1671600","1435057","1461729","1368914","1758986","1453443","1028329","2234700","-"
"Week 44","1708286","1627657","1417914","1424714","1346114","1759086","1520071","1160743","2427571","-"
"Week 45","1793629","1579443","1387600","1467957","1422800","1697914","1439200","1214914","2544057","-"
"Week 46","1835829","1551586","1351600","1548500","1469071","1703557","1336943","1286171","2548386","-"
"Week 47","1824471","1585857","1341429","1511271","1511371","1640943","1252143","1472200","2476457","-"
"Week 48","1809514","1598757","1340014","1590057","1694471","1579729","1209014","1509729","2415886","-"
"Week 49","1782414","1626214","1322771","1587443","1822871","1530757","1230829","1509143","2420357","-"
"Week 50","1774357","1632957","1418043","1531314","1809314","1553929","1149029","1858057","2523814","-"
"Week 51","1818457","1629814","1413329","1569714","2147214","1641075","1074486","2095371","2519400","-"
"Week 52","1857829","1617214","1390871","1555900","2481857","1759571","1166171","2285686","2471343","-"
"Week 53","1927800","","","","","1784471","","","",""
