"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Romania (RO)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","n/e","n/e","260"
"Romania (RO)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","n/e","n/e","131"
"Romania (RO)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","n/e","n/e","97"
"Romania (RO)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","n/e","n/e","208"
"Romania (RO)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","n/e","n/e","238"
"Romania (RO)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","n/e","n/e","170"
"Romania (RO)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","n/e","n/e","225"
"Romania (RO)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","n/e","n/e","227"
"Romania (RO)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","n/e","n/e","188"
"Romania (RO)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","n/e","n/e","244"
"Romania (RO)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","n/e","n/e","176"
"Romania (RO)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","n/e","n/e","196"
"Romania (RO)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","n/e","n/e","224"
"Romania (RO)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","n/e","n/e","179"
"Romania (RO)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","n/e","n/e","273"
"Romania (RO)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","n/e","n/e","335"
"Romania (RO)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","n/e","n/e","336"
"Romania (RO)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","n/e","n/e","392"
"Romania (RO)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","n/e","n/e","477"
"Romania (RO)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","n/e","n/e","536"
"Romania (RO)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","n/e","n/e","637"
"Romania (RO)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","n/e","n/e","590"
"Romania (RO)","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","n/e","n/e","409"
"Romania (RO)","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","n/e","n/e","312"
"Romania (RO)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","n/e","n/e","482"
"Romania (RO)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","n/e","n/e","458"
"Romania (RO)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","n/e","n/e","474"
"Romania (RO)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","n/e","n/e","507"
