"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","n/e","n/e","10552"
"Sweden (SE)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","n/e","n/e","10419"
"Sweden (SE)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","n/e","n/e","10280"
"Sweden (SE)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","n/e","n/e","10221"
"Sweden (SE)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","n/e","n/e","10302"
"Sweden (SE)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","n/e","n/e","10352"
"Sweden (SE)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","n/e","n/e","10427"
"Sweden (SE)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","n/e","n/e","10451"
"Sweden (SE)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","n/e","n/e","10571"
"Sweden (SE)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","n/e","n/e","10820"
"Sweden (SE)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","n/e","n/e","11156"
"Sweden (SE)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","n/e","n/e","11230"
"Sweden (SE)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","n/e","n/e","11487"
"Sweden (SE)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","n/e","n/e","11535"
"Sweden (SE)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","n/e","n/e","11622"
"Sweden (SE)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","n/e","n/e","11927"
"Sweden (SE)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","n/e","n/e","11993"
"Sweden (SE)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","n/e","n/e","11919"
"Sweden (SE)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","n/e","n/e","11906"
"Sweden (SE)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","n/e","n/e","11766"
"Sweden (SE)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","n/e","n/e","11569"
"Sweden (SE)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","n/e","n/e","11218"
"Sweden (SE)","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","n/e","n/e","10812"
"Sweden (SE)","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","n/e","n/e","10730"
"Sweden (SE)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","n/e","n/e","10350"
"Sweden (SE)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","n/e","n/e","10379"
"Sweden (SE)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","n/e","n/e","10330"
"Sweden (SE)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","n/e","n/e","10336"
"Sweden (SE)","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","n/e","n/e","10342"
"Sweden (SE)","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","n/e","n/e","10414"
"Sweden (SE)","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","n/e","n/e","10338"
"Sweden (SE)","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","n/e","n/e","10478"
"Sweden (SE)","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","n/e","n/e","10615"
"Sweden (SE)","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","n/e","n/e","11171"
"Sweden (SE)","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","n/e","n/e","11704"
"Sweden (SE)","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","n/e","n/e","11828"
"Sweden (SE)","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","n/e","n/e","11909"
"Sweden (SE)","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","n/e","n/e","11907"
"Sweden (SE)","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","n/e","n/e","11968"
"Sweden (SE)","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","n/e","n/e","12165"
"Sweden (SE)","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","n/e","n/e","12111"
"Sweden (SE)","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","n/e","n/e","12115"
"Sweden (SE)","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","n/e","n/e","12049"
"Sweden (SE)","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","n/e","n/e","11783"
"Sweden (SE)","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","n/e","n/e","11446"
"Sweden (SE)","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","n/e","n/e","11025"
"Sweden (SE)","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","n/e","n/e","10653"
"Sweden (SE)","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","n/e","n/e","10398"
"Sweden (SE)","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","n/e","n/e","9884"
"Sweden (SE)","03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","n/e","n/e","9784"
"Sweden (SE)","03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","n/e","n/e","9671"
"Sweden (SE)","03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","n/e","n/e","9637"
"Sweden (SE)","03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","n/e","n/e","9729"
"Sweden (SE)","03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","n/e","n/e","9795"
"Sweden (SE)","03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","n/e","n/e","10131"
"Sweden (SE)","03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","n/e","n/e","10156"
"Sweden (SE)","03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","n/e","n/e","10365"
"Sweden (SE)","03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","n/e","n/e","10648"
"Sweden (SE)","03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","n/e","n/e","10921"
"Sweden (SE)","03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","n/e","n/e","10955"
"Sweden (SE)","03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","n/e","n/e","11018"
"Sweden (SE)","03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","n/e","n/e","11051"
"Sweden (SE)","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","n/e","n/e","11085"
"Sweden (SE)","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","n/e","n/e","11124"
"Sweden (SE)","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","n/e","n/e","11506"
"Sweden (SE)","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","n/e","n/e","11585"
"Sweden (SE)","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","n/e","n/e","11426"
"Sweden (SE)","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","n/e","n/e","11159"
"Sweden (SE)","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","n/e","n/e","10732"
"Sweden (SE)","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","n/e","n/e","10478"
