"Parameters for demand.ninja. Values are taken from the SI of Staffell et al. (2023), namely from SI Table 9 (T_cool & P_cool) and SI Figs. 5-XY (T_heat, P_heat; Latvia is missing and is computed as the mean of Estonia and Lithuania given locational proximity and that Latvia's population is in between the other two) and SI Table 4 (1 value for Europe in total for smoothing, solar_gains, wind_chill and humidity_discomfort",,,,,,,,
units,degC,GW/degC,degC,GW/degC,1/day,degC/(W/m2),degC/(m/s),degC/(g/kg)
 ,cooling_threshold,cooling_power,heating_threshold,heating_power,smoothing,solar_gains,wind_chill,humidity_discomfort
Austria,24.8,0.3,10.67,0.12,0.62,0.019,-0.13,0.032
Belgium,24.6,0.43,11.28,0.14,0.62,0.019,-0.13,0.032
Bulgaria,21.6,0.1,13.52,0.12,0.62,0.019,-0.13,0.032
Czechia,25.9,0,14.18,0.1,0.62,0.019,-0.13,0.032
Denmark,22.7,0.21,11.01,0.06,0.62,0.019,-0.13,0.032
Estonia,25.1,0,10.97,0.02,0.62,0.019,-0.13,0.032
Finland,24.4,0,10.59,0.19,0.62,0.019,-0.13,0.032
France,22.7,1.59,12.98,2.37,0.62,0.019,-0.13,0.032
Great Britain,20.9,1.36,12.19,0.83,0.62,0.019,-0.13,0.032
Germany,23.1,0.55,11.39,0.51,0.62,0.019,-0.13,0.032
Greece,22.6,0.35,13.74,0.18,0.62,0.019,-0.13,0.032
Hungary,24.6,0.35,13.54,0.05,0.62,0.019,-0.13,0.032
Ireland,21.5,0.16,11.74,0.05,0.62,0.019,-0.13,0.032
Italy,20.6,1.46,12.01,0.62,0.62,0.019,-0.13,0.032
Latvia,23.8,0.11,9.85,0.02,0.62,0.019,-0.13,0.032
Lithuania,25,0.18,8.73,0.02,0.62,0.019,-0.13,0.032
Netherlands,25,0.24,10.31,0.14,0.62,0.019,-0.13,0.032
Norway,22.7,0,11.03,0.49,0.62,0.019,-0.13,0.032
Poland,23.9,0.83,13.01,0.17,0.62,0.019,-0.13,0.032
Portugal,21.7,0.34,13.39,0.18,0.62,0.019,-0.13,0.032
Romania,22.2,0.2,15.68,0.09,0.62,0.019,-0.13,0.032
Slovakia,24.9,0.08,11.98,0.04,0.62,0.019,-0.13,0.032
Spain,19.8,0.88,14.67,0.65,0.62,0.019,-0.13,0.032
Sweden,21.8,0,11.45,0.46,0.62,0.019,-0.13,0.032
Switzerland,25.8,0.16,12.54,0.1,0.62,0.019,-0.13,0.032
