"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2015 00:00 - 01.01.2015 00:15 (CET/CEST)","1536"
"Austria (AT)","01.01.2015 00:15 - 01.01.2015 00:30 (CET/CEST)","1521"
"Austria (AT)","01.01.2015 00:30 - 01.01.2015 00:45 (CET/CEST)","1515"
"Austria (AT)","01.01.2015 00:45 - 01.01.2015 01:00 (CET/CEST)","1514"
"Austria (AT)","01.01.2015 01:00 - 01.01.2015 01:15 (CET/CEST)","1491"
"Austria (AT)","01.01.2015 01:15 - 01.01.2015 01:30 (CET/CEST)","1490"
"Austria (AT)","01.01.2015 01:30 - 01.01.2015 01:45 (CET/CEST)","1490"
"Austria (AT)","01.01.2015 01:45 - 01.01.2015 02:00 (CET/CEST)","1488"
"Austria (AT)","01.01.2015 02:00 - 01.01.2015 02:15 (CET/CEST)","1478"
"Austria (AT)","01.01.2015 02:15 - 01.01.2015 02:30 (CET/CEST)","1458"
"Austria (AT)","01.01.2015 02:30 - 01.01.2015 02:45 (CET/CEST)","1452"
"Austria (AT)","01.01.2015 02:45 - 01.01.2015 03:00 (CET/CEST)","1451"
"Austria (AT)","01.01.2015 03:00 - 01.01.2015 03:15 (CET/CEST)","1433"
"Austria (AT)","01.01.2015 03:15 - 01.01.2015 03:30 (CET/CEST)","1427"
"Austria (AT)","01.01.2015 03:30 - 01.01.2015 03:45 (CET/CEST)","1430"
"Austria (AT)","01.01.2015 03:45 - 01.01.2015 04:00 (CET/CEST)","1429"
"Austria (AT)","01.01.2015 04:00 - 01.01.2015 04:15 (CET/CEST)","1442"
"Austria (AT)","01.01.2015 04:15 - 01.01.2015 04:30 (CET/CEST)","1446"
"Austria (AT)","01.01.2015 04:30 - 01.01.2015 04:45 (CET/CEST)","1451"
"Austria (AT)","01.01.2015 04:45 - 01.01.2015 05:00 (CET/CEST)","1451"
"Austria (AT)","01.01.2015 05:00 - 01.01.2015 05:15 (CET/CEST)","1455"
"Austria (AT)","01.01.2015 05:15 - 01.01.2015 05:30 (CET/CEST)","1448"
"Austria (AT)","01.01.2015 05:30 - 01.01.2015 05:45 (CET/CEST)","1446"
"Austria (AT)","01.01.2015 05:45 - 01.01.2015 06:00 (CET/CEST)","1444"
"Austria (AT)","01.01.2015 06:00 - 01.01.2015 06:15 (CET/CEST)","1445"
"Austria (AT)","01.01.2015 06:15 - 01.01.2015 06:30 (CET/CEST)","1443"
"Austria (AT)","01.01.2015 06:30 - 01.01.2015 06:45 (CET/CEST)","1439"
"Austria (AT)","01.01.2015 06:45 - 01.01.2015 07:00 (CET/CEST)","1432"
"Austria (AT)","01.01.2015 07:00 - 01.01.2015 07:15 (CET/CEST)","1459"
"Austria (AT)","01.01.2015 07:15 - 01.01.2015 07:30 (CET/CEST)","1500"
"Austria (AT)","01.01.2015 07:30 - 01.01.2015 07:45 (CET/CEST)","1514"
"Austria (AT)","01.01.2015 07:45 - 01.01.2015 08:00 (CET/CEST)","1517"
"Austria (AT)","01.01.2015 08:00 - 01.01.2015 08:15 (CET/CEST)","1499"
"Austria (AT)","01.01.2015 08:15 - 01.01.2015 08:30 (CET/CEST)","1508"
"Austria (AT)","01.01.2015 08:30 - 01.01.2015 08:45 (CET/CEST)","1522"
"Austria (AT)","01.01.2015 08:45 - 01.01.2015 09:00 (CET/CEST)","1532"
"Austria (AT)","01.01.2015 09:00 - 01.01.2015 09:15 (CET/CEST)","1538"
"Austria (AT)","01.01.2015 09:15 - 01.01.2015 09:30 (CET/CEST)","1539"
"Austria (AT)","01.01.2015 09:30 - 01.01.2015 09:45 (CET/CEST)","1539"
"Austria (AT)","01.01.2015 09:45 - 01.01.2015 10:00 (CET/CEST)","1536"
"Austria (AT)","01.01.2015 10:00 - 01.01.2015 10:15 (CET/CEST)","1524"
"Austria (AT)","01.01.2015 10:15 - 01.01.2015 10:30 (CET/CEST)","1520"
"Austria (AT)","01.01.2015 10:30 - 01.01.2015 10:45 (CET/CEST)","1520"
"Austria (AT)","01.01.2015 10:45 - 01.01.2015 11:00 (CET/CEST)","1526"
"Austria (AT)","01.01.2015 11:00 - 01.01.2015 11:15 (CET/CEST)","1544"
"Austria (AT)","01.01.2015 11:15 - 01.01.2015 11:30 (CET/CEST)","1546"
"Austria (AT)","01.01.2015 11:30 - 01.01.2015 11:45 (CET/CEST)","1541"
"Austria (AT)","01.01.2015 11:45 - 01.01.2015 12:00 (CET/CEST)","1543"
"Austria (AT)","01.01.2015 12:00 - 01.01.2015 12:15 (CET/CEST)","1542"
"Austria (AT)","01.01.2015 12:15 - 01.01.2015 12:30 (CET/CEST)","1539"
"Austria (AT)","01.01.2015 12:30 - 01.01.2015 12:45 (CET/CEST)","1546"
"Austria (AT)","01.01.2015 12:45 - 01.01.2015 13:00 (CET/CEST)","1542"
"Austria (AT)","01.01.2015 13:00 - 01.01.2015 13:15 (CET/CEST)","1546"
"Austria (AT)","01.01.2015 13:15 - 01.01.2015 13:30 (CET/CEST)","1531"
"Austria (AT)","01.01.2015 13:30 - 01.01.2015 13:45 (CET/CEST)","1532"
"Austria (AT)","01.01.2015 13:45 - 01.01.2015 14:00 (CET/CEST)","1516"
"Austria (AT)","01.01.2015 14:00 - 01.01.2015 14:15 (CET/CEST)","1524"
"Austria (AT)","01.01.2015 14:15 - 01.01.2015 14:30 (CET/CEST)","1526"
"Austria (AT)","01.01.2015 14:30 - 01.01.2015 14:45 (CET/CEST)","1526"
"Austria (AT)","01.01.2015 14:45 - 01.01.2015 15:00 (CET/CEST)","1534"
"Austria (AT)","01.01.2015 15:00 - 01.01.2015 15:15 (CET/CEST)","1525"
"Austria (AT)","01.01.2015 15:15 - 01.01.2015 15:30 (CET/CEST)","1526"
"Austria (AT)","01.01.2015 15:30 - 01.01.2015 15:45 (CET/CEST)","1534"
"Austria (AT)","01.01.2015 15:45 - 01.01.2015 16:00 (CET/CEST)","1534"
"Austria (AT)","01.01.2015 16:00 - 01.01.2015 16:15 (CET/CEST)","1623"
"Austria (AT)","01.01.2015 16:15 - 01.01.2015 16:30 (CET/CEST)","1637"
"Austria (AT)","01.01.2015 16:30 - 01.01.2015 16:45 (CET/CEST)","1657"
"Austria (AT)","01.01.2015 16:45 - 01.01.2015 17:00 (CET/CEST)","1686"
"Austria (AT)","01.01.2015 17:00 - 01.01.2015 17:15 (CET/CEST)","1744"
"Austria (AT)","01.01.2015 17:15 - 01.01.2015 17:30 (CET/CEST)","1781"
"Austria (AT)","01.01.2015 17:30 - 01.01.2015 17:45 (CET/CEST)","1784"
"Austria (AT)","01.01.2015 17:45 - 01.01.2015 18:00 (CET/CEST)","1768"
