"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2017 00:00 - 01.01.2017 00:15 (CET/CEST)","1122"
"Germany (DE)","01.01.2017 00:15 - 01.01.2017 00:30 (CET/CEST)","1124"
"Germany (DE)","01.01.2017 00:30 - 01.01.2017 00:45 (CET/CEST)","1127"
"Germany (DE)","01.01.2017 00:45 - 01.01.2017 01:00 (CET/CEST)","1127"
"Germany (DE)","01.01.2017 01:00 - 01.01.2017 01:15 (CET/CEST)","1124"
"Germany (DE)","01.01.2017 01:15 - 01.01.2017 01:30 (CET/CEST)","1125"
"Germany (DE)","01.01.2017 01:30 - 01.01.2017 01:45 (CET/CEST)","1126"
"Germany (DE)","01.01.2017 01:45 - 01.01.2017 02:00 (CET/CEST)","1124"
"Germany (DE)","01.01.2017 02:00 - 01.01.2017 02:15 (CET/CEST)","1126"
"Germany (DE)","01.01.2017 02:15 - 01.01.2017 02:30 (CET/CEST)","1125"
"Germany (DE)","01.01.2017 02:30 - 01.01.2017 02:45 (CET/CEST)","1124"
"Germany (DE)","01.01.2017 02:45 - 01.01.2017 03:00 (CET/CEST)","1118"
"Germany (DE)","01.01.2017 03:00 - 01.01.2017 03:15 (CET/CEST)","1113"
"Germany (DE)","01.01.2017 03:15 - 01.01.2017 03:30 (CET/CEST)","1109"
"Germany (DE)","01.01.2017 03:30 - 01.01.2017 03:45 (CET/CEST)","1106"
"Germany (DE)","01.01.2017 03:45 - 01.01.2017 04:00 (CET/CEST)","1103"
"Germany (DE)","01.01.2017 04:00 - 01.01.2017 04:15 (CET/CEST)","1105"
"Germany (DE)","01.01.2017 04:15 - 01.01.2017 04:30 (CET/CEST)","1104"
"Germany (DE)","01.01.2017 04:30 - 01.01.2017 04:45 (CET/CEST)","1105"
"Germany (DE)","01.01.2017 04:45 - 01.01.2017 05:00 (CET/CEST)","1106"
"Germany (DE)","01.01.2017 05:00 - 01.01.2017 05:15 (CET/CEST)","1105"
"Germany (DE)","01.01.2017 05:15 - 01.01.2017 05:30 (CET/CEST)","1103"
"Germany (DE)","01.01.2017 05:30 - 01.01.2017 05:45 (CET/CEST)","1102"
"Germany (DE)","01.01.2017 05:45 - 01.01.2017 06:00 (CET/CEST)","1102"
"Germany (DE)","01.01.2017 06:00 - 01.01.2017 06:15 (CET/CEST)","1107"
"Germany (DE)","01.01.2017 06:15 - 01.01.2017 06:30 (CET/CEST)","1111"
"Germany (DE)","01.01.2017 06:30 - 01.01.2017 06:45 (CET/CEST)","1109"
"Germany (DE)","01.01.2017 06:45 - 01.01.2017 07:00 (CET/CEST)","1106"
"Germany (DE)","01.01.2017 07:00 - 01.01.2017 07:15 (CET/CEST)","1097"
"Germany (DE)","01.01.2017 07:15 - 01.01.2017 07:30 (CET/CEST)","1095"
"Germany (DE)","01.01.2017 07:30 - 01.01.2017 07:45 (CET/CEST)","1091"
"Germany (DE)","01.01.2017 07:45 - 01.01.2017 08:00 (CET/CEST)","1091"
"Germany (DE)","01.01.2017 08:00 - 01.01.2017 08:15 (CET/CEST)","1089"
"Germany (DE)","01.01.2017 08:15 - 01.01.2017 08:30 (CET/CEST)","1085"
"Germany (DE)","01.01.2017 08:30 - 01.01.2017 08:45 (CET/CEST)","1083"
"Germany (DE)","01.01.2017 08:45 - 01.01.2017 09:00 (CET/CEST)","1077"
"Germany (DE)","01.01.2017 09:00 - 01.01.2017 09:15 (CET/CEST)","1074"
"Germany (DE)","01.01.2017 09:15 - 01.01.2017 09:30 (CET/CEST)","1073"
"Germany (DE)","01.01.2017 09:30 - 01.01.2017 09:45 (CET/CEST)","1073"
"Germany (DE)","01.01.2017 09:45 - 01.01.2017 10:00 (CET/CEST)","1073"
"Germany (DE)","01.01.2017 10:00 - 01.01.2017 10:15 (CET/CEST)","1072"
"Germany (DE)","01.01.2017 10:15 - 01.01.2017 10:30 (CET/CEST)","1073"
"Germany (DE)","01.01.2017 10:30 - 01.01.2017 10:45 (CET/CEST)","1073"
"Germany (DE)","01.01.2017 10:45 - 01.01.2017 11:00 (CET/CEST)","1072"
"Germany (DE)","01.01.2017 11:00 - 01.01.2017 11:15 (CET/CEST)","1069"
"Germany (DE)","01.01.2017 11:15 - 01.01.2017 11:30 (CET/CEST)","1066"
"Germany (DE)","01.01.2017 11:30 - 01.01.2017 11:45 (CET/CEST)","1063"
"Germany (DE)","01.01.2017 11:45 - 01.01.2017 12:00 (CET/CEST)","1060"
"Germany (DE)","01.01.2017 12:00 - 01.01.2017 12:15 (CET/CEST)","1058"
"Germany (DE)","01.01.2017 12:15 - 01.01.2017 12:30 (CET/CEST)","1055"
"Germany (DE)","01.01.2017 12:30 - 01.01.2017 12:45 (CET/CEST)","1050"
"Germany (DE)","01.01.2017 12:45 - 01.01.2017 13:00 (CET/CEST)","1048"
"Germany (DE)","01.01.2017 13:00 - 01.01.2017 13:15 (CET/CEST)","1053"
"Germany (DE)","01.01.2017 13:15 - 01.01.2017 13:30 (CET/CEST)","1052"
"Germany (DE)","01.01.2017 13:30 - 01.01.2017 13:45 (CET/CEST)","1053"
"Germany (DE)","01.01.2017 13:45 - 01.01.2017 14:00 (CET/CEST)","1052"
"Germany (DE)","01.01.2017 14:00 - 01.01.2017 14:15 (CET/CEST)","1052"
"Germany (DE)","01.01.2017 14:15 - 01.01.2017 14:30 (CET/CEST)","1053"
"Germany (DE)","01.01.2017 14:30 - 01.01.2017 14:45 (CET/CEST)","1058"
"Germany (DE)","01.01.2017 14:45 - 01.01.2017 15:00 (CET/CEST)","1054"
"Germany (DE)","01.01.2017 15:00 - 01.01.2017 15:15 (CET/CEST)","1055"
"Germany (DE)","01.01.2017 15:15 - 01.01.2017 15:30 (CET/CEST)","1056"
"Germany (DE)","01.01.2017 15:30 - 01.01.2017 15:45 (CET/CEST)","1057"
"Germany (DE)","01.01.2017 15:45 - 01.01.2017 16:00 (CET/CEST)","1057"
"Germany (DE)","01.01.2017 16:00 - 01.01.2017 16:15 (CET/CEST)","1057"
"Germany (DE)","01.01.2017 16:15 - 01.01.2017 16:30 (CET/CEST)","1056"
"Germany (DE)","01.01.2017 16:30 - 01.01.2017 16:45 (CET/CEST)","1053"
"Germany (DE)","01.01.2017 16:45 - 01.01.2017 17:00 (CET/CEST)","1053"
