"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","1070"
"Spain (ES)","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","1082"
"Spain (ES)","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","1046"
"Spain (ES)","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","1045"
"Spain (ES)","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","1049"
"Spain (ES)","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","1031"
"Spain (ES)","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","1016"
"Spain (ES)","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","1018"
"Spain (ES)","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","1029"
"Spain (ES)","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","1037"
"Spain (ES)","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","1049"
"Spain (ES)","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","1059"
"Spain (ES)","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","1053"
"Spain (ES)","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","1049"
"Spain (ES)","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","1042"
"Spain (ES)","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","1039"
"Spain (ES)","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","1068"
"Spain (ES)","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","1161"
"Spain (ES)","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","1230"
"Spain (ES)","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","1169"
"Spain (ES)","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","1177"
"Spain (ES)","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","1159"
"Spain (ES)","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","1106"
"Spain (ES)","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","1101"
"Spain (ES)","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","1063"
"Spain (ES)","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","1050"
"Spain (ES)","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","1038"
"Spain (ES)","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","1032"
"Spain (ES)","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","1034"
"Spain (ES)","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","1033"
"Spain (ES)","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","1029"
"Spain (ES)","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","1012"
