"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","6139"
"France (FR)","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","5920"
"France (FR)","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","5793"
"France (FR)","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","5559"
"France (FR)","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","5400"
"France (FR)","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","5347"
"France (FR)","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","5224"
"France (FR)","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","5226"
"France (FR)","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","5345"
"France (FR)","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","5444"
"France (FR)","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","5446"
"France (FR)","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","5367"
"France (FR)","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","5399"
"France (FR)","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","5444"
"France (FR)","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","5389"
"France (FR)","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","5479"
"France (FR)","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","5896"
"France (FR)","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","6176"
"France (FR)","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","6413"
"France (FR)","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","6591"
"France (FR)","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","6486"
"France (FR)","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","6153"
"France (FR)","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","6026"
"France (FR)","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","5797"
"France (FR)","02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","5376"
"France (FR)","02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","5154"
"France (FR)","02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","5075"
"France (FR)","02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","5113"
"France (FR)","02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","5174"
"France (FR)","02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","5217"
"France (FR)","02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","5533"
"France (FR)","02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","5946"
