"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","2465"
"Italy (IT)","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","2115"
"Italy (IT)","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","1951"
"Italy (IT)","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","1831"
"Italy (IT)","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","1842"
"Italy (IT)","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","1818"
"Italy (IT)","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","1930"
"Italy (IT)","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","2192"
"Italy (IT)","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","2484"
"Italy (IT)","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","2204"
"Italy (IT)","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","2056"
"Italy (IT)","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","2083"
"Italy (IT)","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","2069"
"Italy (IT)","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","2000"
"Italy (IT)","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","1877"
"Italy (IT)","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","2147"
"Italy (IT)","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","2674"
"Italy (IT)","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","3212"
"Italy (IT)","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","3372"
"Italy (IT)","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","3357"
"Italy (IT)","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","2929"
"Italy (IT)","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","2653"
"Italy (IT)","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","2433"
"Italy (IT)","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","2059"
"Italy (IT)","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","2049"
"Italy (IT)","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","1723"
"Italy (IT)","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","1622"
"Italy (IT)","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","1601"
"Italy (IT)","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","1638"
"Italy (IT)","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","1648"
"Italy (IT)","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","1803"
"Italy (IT)","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","2033"
"Italy (IT)","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","2317"
"Italy (IT)","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","2325"
"Italy (IT)","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","2499"
"Italy (IT)","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","2504"
"Italy (IT)","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","2492"
"Italy (IT)","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","2366"
"Italy (IT)","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","1971"
"Italy (IT)","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","2039"
"Italy (IT)","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","2389"
"Italy (IT)","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","3016"
"Italy (IT)","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","3207"
"Italy (IT)","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","3261"
"Italy (IT)","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","2926"
"Italy (IT)","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","2377"
"Italy (IT)","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","2009"
"Italy (IT)","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","1857"
"Italy (IT)","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","1750"
"Italy (IT)","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","1632"
